user_id,signup_date,age,location,device,traffic_source,pages_visited,session_duration,converted,signup_month
1,2024-12-24,60,Isle of Man,Mobile,Direct,5,13.460734061743212,0,2024-12
2,2025-05-31,36,Gibraltar,Tablet,Direct,8,3.4226200613772138,0,2025-05
3,2025-04-28,49,Malawi,Tablet,Organic,6,4.047382437606935,0,2025-04
4,2025-05-08,27,Pitcairn Islands,Tablet,Direct,11,6.546032138194838,0,2025-05
5,2024-12-20,60,Saint Pierre and Miquelon,Tablet,Organic,1,44.46710648331893,1,2024-12
6,2025-01-31,53,Korea,Mobile,Organic,0,9.883813853908254,0,2025-01
7,2025-04-25,59,Norfolk Island,Mobile,Referral,7,3.912636848437389,0,2025-04
8,2025-03-21,43,Cyprus,Desktop,Paid,11,20.827701574275885,0,2025-03
9,2025-05-17,29,Netherlands,Tablet,Referral,1,16.312596651145384,0,2025-05
10,2025-02-02,51,Holy See (Vatican City State),Tablet,Referral,3,18.023995585670903,0,2025-02
11,2025-02-23,30,Egypt,Desktop,Organic,8,4.79824254828438,0,2025-02
12,2025-04-23,37,Bhutan,Desktop,Organic,10,5.329793012746519,0,2025-04
13,2025-02-27,52,Honduras,Mobile,Organic,4,4.791903310066061,0,2025-02
14,2025-02-09,34,Guinea-Bissau,Desktop,Referral,7,0.6609417515109007,0,2025-02
15,2025-01-30,63,Iran,Tablet,Referral,6,0.17246883722241704,0,2025-01
16,2025-06-06,31,Nicaragua,Mobile,Referral,4,9.251137586329756,0,2025-06
17,2025-04-04,32,Panama,Mobile,Organic,1,24.932136982617294,0,2025-04
18,2025-02-25,62,Mayotte,Mobile,Paid,2,0.6600990221154173,1,2025-02
19,2025-05-27,20,Costa Rica,Desktop,Direct,6,12.590334711300367,1,2025-05
20,2025-04-09,37,United States of America,Desktop,Direct,2,6.6177614834844425,1,2025-04
21,2024-12-23,60,Equatorial Guinea,Tablet,Paid,4,16.95793276636558,1,2024-12
22,2025-03-20,22,Martinique,Desktop,Referral,3,2.9338926366851616,0,2025-03
23,2025-02-08,52,Libyan Arab Jamahiriya,Mobile,Organic,5,14.802787707895606,0,2025-02
24,2025-06-01,53,Greece,Tablet,Organic,7,0.6363995965350204,1,2025-06
25,2025-01-27,24,Jordan,Mobile,Referral,2,8.561319167885856,1,2025-01
26,2025-06-05,19,Liechtenstein,Tablet,Paid,2,3.52653295702488,0,2025-06
27,2025-04-17,22,Luxembourg,Mobile,Direct,13,0.30925125956121763,0,2025-04
28,2025-04-30,25,Ethiopia,Desktop,Referral,5,0.928265405941323,0,2025-04
29,2025-06-06,56,Singapore,Mobile,Referral,6,16.794877353015757,0,2025-06
30,2025-04-17,28,Angola,Mobile,Paid,4,9.0783181565624,0,2025-04
31,2025-03-21,54,Canada,Tablet,Organic,4,5.973482148137798,0,2025-03
32,2024-12-14,28,Uzbekistan,Mobile,Paid,2,2.0657618043308816,0,2024-12
33,2024-12-27,56,Western Sahara,Mobile,Organic,6,1.6332248205469526,0,2024-12
34,2025-06-02,21,Gabon,Tablet,Organic,3,15.858299510023999,1,2025-06
35,2024-12-23,33,Puerto Rico,Tablet,Paid,6,3.322829181775128,0,2024-12
36,2025-04-19,39,Puerto Rico,Mobile,Direct,3,41.72701154328989,0,2025-04
37,2025-04-12,55,Jordan,Mobile,Organic,8,0.9266744187825195,0,2025-04
38,2025-05-17,24,Tajikistan,Mobile,Direct,7,10.163485923466773,0,2025-05
39,2024-12-25,50,Congo,Mobile,Paid,5,0.18033641794625563,1,2024-12
